variable,0,1,MeanDecreaseAccuracy,MeanDecreaseGini,,variable.1
session123nov11am130pmbahrain,-0.630429498,2.90771267,2.461169529,4.083428012,a,asession123nov11am130pmbahraina
day312001300scmcontributiontosuccessfulprojectmanagementandanalyzingtheextensiveprojectpipeline,3.890657413,-1.382788052,2.461015131,7.618393778,a,aday312001300scmcontributiontosuccessfulprojectmanagementandanalyzingtheextensiveprojectpipelinea
day214001500bimbetweentheoryandpractice,3.24190245,-0.936154494,2.439069538,8.220417619,a,aday214001500bimbetweentheoryandpracticea
lebanese,-1.23998781,3.911010196,2.435407923,77.69823033,a,alebanesea
upto5000000,2.670778419,0.473448869,2.364910158,48.02947338,a,aupto5000000a
czech,4.391703704,-0.449285444,2.341345945,4.606670204,a,aczecha
day412001300mepintransportinfrastructure,1.119612562,1.429463833,2.312564571,8.340091064,a,aday412001300mepintransportinfrastructurea
pumpingequipmentaccessories,2.641164712,-0.818812102,2.287463811,6.688694846,a,apumpingequipmentaccessoriesa
nepali,2.494761402,0.998541775,2.274056306,7.217865759,a,anepalia
governmentmunicipality,-0.694379834,4.131807352,2.236752504,33.02056371,a,agovernmentmunicipalitya
thai,5.18878043,-2.740719397,2.200312026,4.217086018,a,athaia
day214001500indoorenvironmentalqualityieqstrategiesforleedv4,1.083056578,1.461815489,2.180685461,9.521359359,a,aday214001500indoorenvironmentalqualityieqstrategiesforleedv4a
palauan,5.77E-05,2.513084677,2.164018925,1.401874556,a,apalauana
session123nov11am130pmoman,0.924834267,1.741371878,2.107074038,6.371984954,a,asession123nov11am130pmomana
day114001500adaptivearchitectureconvertiblestructures,2.747214596,-0.315452305,2.086106448,11.02513402,a,aday114001500adaptivearchitectureconvertiblestructuresa
dontknow,2.251775412,0.585706645,2.07908062,69.36750622,a,adontknowa
prometalmetalindustriesabloyel560llowenergylock,3.994299823,-0.677155378,2.06971631,40.43491429,a,aprometalmetalindustriesabloyel560llowenergylocka
surfacepreparation,2.154951351,-0.283110172,2.036141587,6.420176424,a,asurfacepreparationa
venezuelan,-0.37421575,2.223542741,2.033391201,2.782589166,a,avenezuelana
day316001700constructionprojectsandtheirimpactonprojectsconstraints,2.894207798,-1.052181955,2.026372749,10.3730805,a,aday316001700constructionprojectsandtheirimpactonprojectsconstraintsa
slovenian,3.288734329,-0.50056915,2.006318915,2.285904784,a,asloveniana
day314001500evaluatingtheimpactandapplicationofsustainabledevelopmentinthegcc,1.567038633,0.309765596,1.9501894,9.901396273,a,aday314001500evaluatingtheimpactandapplicationofsustainabledevelopmentinthegcca
workshopformecandpmvlive,1.64638225,1.004192891,1.918833038,0.375667555,a,aworkshopformecandpmvlivea
mexican,1.915887068,0.835359248,1.914083622,2.142879122,a,amexicana
comoran,-0.581453651,2.377373776,1.911812613,1.474708137,a,acomorana
day216001700establishingadifferencethatcanbepreserved,-0.280913246,2.418760677,1.894018388,1.935937303,a,aday216001700establishingadifferencethatcanbepreserveda
tunisian,0.224956036,2.502217539,1.87819539,11.37376629,a,atunisiana
day212001300leapfroggingtheresidentialnewconstructionindustryinthegcctoasustainablefuture,-1.343664983,3.291357227,1.829623068,6.402185151,a,aday212001300leapfroggingtheresidentialnewconstructionindustryinthegcctoasustainablefuturea
day416001700toolsforsustainabledevelopmentatdistrictlevel,1.99630939,-0.152300115,1.818953662,8.565089294,a,aday416001700toolsforsustainabledevelopmentatdistrictlevela
libyan,1.303689781,1.241171075,1.798397516,5.666587887,a,alibyana
montenegrin,0,1.754115386,1.754115014,0.958097141,a,amontenegrina
day112001300zerocarbonbuildingsmanagementofdesignandconstruction,2.599567633,-0.831862306,1.735369213,9.82820841,a,aday112001300zerocarbonbuildingsmanagementofdesignandconstructiona
azerbaijani,2.403330111,-0.209356933,1.726404206,5.769189502,a,aazerbaijania
siteclearingdemolitionrelocation,2.033503563,-1.127272688,1.704308916,4.467083821,a,asiteclearingdemolitionrelocationa
malagasy,3.422218613,-1.96875287,1.688771023,1.448016483,a,amalagasya
solidiansolidiangrid,0.674676955,1.47451893,1.673591652,10.88639183,a,asolidiansolidiangrida
seychellois,1.426147584,1.004192891,1.650622426,1.245710342,a,aseychelloisa
day412001300effectivemarketingstrategiesintheconstructionindustry,0.858194241,0.994678854,1.63860755,10.87428483,a,aday412001300effectivemarketingstrategiesintheconstructionindustrya
day216001700iotizingtheconstructionindustry1001reallifecasestudiesfromaroundtheglobe,0.122353473,1.882808854,1.630046216,7.921979611,a,aday216001700iotizingtheconstructionindustry1001reallifecasestudiesfromaroundtheglobea
day116001700importanceofenergyauditsandenergyreductionstrategies,1.257945998,0.62613617,1.567293599,8.247131954,a,aday116001700importanceofenergyauditsandenergyreductionstrategiesa
day214001500defininghealthandsafetyleadershipbehaviours,0.401085402,1.653190725,1.564146118,2.441851613,a,aday214001500defininghealthandsafetyleadershipbehavioursa
precastproductionequipment,0.465058789,1.186536659,1.548546018,8.590823247,a,aprecastproductionequipmenta
bulgarian,-0.569649259,2.558222091,1.525273616,3.24307839,a,abulgariana
swiss,3.806812478,-1.225214698,1.495664984,5.121322594,a,aswissa
day116001700drivingculturechangethroughleadership,1.50667691,0.357631285,1.492339726,5.706703706,a,aday116001700drivingculturechangethroughleadershipa
finishingtoolsequipment,2.081829285,-0.701861757,1.472771056,10.37029014,a,afinishingtoolsequipmenta
day414001500doesyourstrategyperformancetrulyreflectyourportfolioperformance,1.456905536,-0.165323134,1.469909988,9.811728827,a,aday414001500doesyourstrategyperformancetrulyreflectyourportfolioperformancea
materialprocessinghandling,0.263741671,1.671504035,1.451639368,9.574762416,a,amaterialprocessinghandlinga
mongolian,1.426143184,0,1.426148062,0.441392499,a,amongoliana
day1fabricreinforcedcementitiousmatrixfrcmcompositesforinfrastructurestrengtheningmec,1.426147888,0,1.426119028,0.171714996,a,aday1fabricreinforcedcementitiousmatrixfrcmcompositesforinfrastructurestrengtheningmeca
mauritanian,-1.344040598,2.602191367,1.404413899,1.645652245,a,amauritaniana
synergyunitedcodiasensrldiathoniteevolution,5.083686851,-2.873948733,1.386417367,19.88736782,a,asynergyunitedcodiasensrldiathoniteevolutiona
cementcementitiousproducts,0.882980379,0.353287058,1.376612261,10.75560685,a,acementcementitiousproductsa
decorativeconcrete,1.72204803,-0.2544972,1.310653201,9.647316217,a,adecorativeconcretea
day116001700bimtheredonethat,0.564147796,0.814478384,1.308596486,9.399699973,a,aday116001700bimtheredonethata
dominican,-1.423443876,2.92554266,1.301201211,2.96056851,a,adominicana
day414001500financefornonfinancemanagers,1.304962026,0.430432113,1.292762505,4.697145554,a,aday414001500financefornonfinancemanagersa
day414001500howtogetthebestoutofbimintelligenceindesignprocessandtakingitforwardinconstruction,2.672935599,-2.117614852,1.275650398,11.6190965,a,aday414001500howtogetthebestoutofbimintelligenceindesignprocessandtakingitforwardinconstructiona
day416001700comparativeanalysisoftraditionalvssustainablechilledwaterplantdesign,3.038276522,-2.046157159,1.269795515,5.260123135,a,aday416001700comparativeanalysisoftraditionalvssustainablechilledwaterplantdesigna
upto100000,3.249884531,-1.973887454,1.244705707,66.67528231,a,aupto100000a
day314001500intrapreneurshipneedofthehourinprogrammanagement,1.660022783,-0.467081371,1.231509791,7.426929746,a,aday314001500intrapreneurshipneedofthehourinprogrammanagementa
upto500000,3.334787534,-1.855567967,1.216736029,59.16717834,a,aupto500000a
day216001700energyandatmospherestrategiesforleedv4,1.46322976,-0.110520997,1.167397011,10.24866954,a,aday216001700energyandatmospherestrategiesforleedv4a
day312001300socialmediaintheconstructionfield,1.514837245,-0.349437923,1.144107521,3.550207318,a,aday312001300socialmediaintheconstructionfielda
bangladeshi,4.194426921,-3.497303926,1.144099059,17.70699156,a,abangladeshia
hungarian,-0.244521739,1.593617723,1.133481489,2.940824744,a,ahungariana
day216001700leadershiptodriveprojectsandprojectmanagementcareertoeffectivechange,2.754144129,-1.28095419,1.130472654,9.08488268,a,aday216001700leadershiptodriveprojectsandprojectmanagementcareertoeffectivechangea
upto100million,2.936766547,-1.478049078,1.122011371,21.68517617,a,aupto100milliona
landscaping,2.150618066,-0.429371506,1.113342748,21.1082815,a,alandscapinga
inotecgmbhowconewaycontainer,1.813282868,-0.226080058,1.110664113,15.82075552,a,ainotecgmbhowconewaycontainera
onyxsolarenergyslphotovoltaicglassforbuildings,3.125271214,-2.112593531,1.10161456,29.94001791,a,aonyxsolarenergyslphotovoltaicglassforbuildingsa
truckmixers,0.08969937,1.124217296,1.098939722,5.138036102,a,atruckmixersa
