"","Card.Number","Date","flow","day"
"4747","3397008673",2017-09-19,"Gulf Host",3
"4748","3397008673",2017-09-20,"Yummex-The Specialty Food Festival-Gulf Host",4
"4749","3397008675",2017-09-19,"Yummex-Crossover into Hotel / Leisure",3
"4750","3397008678",2017-09-20,"Gulf Host-Yummex",4
"4751","3397008681",2017-09-18,"Gulf Host",2
"4752","3397008681",2017-09-19,"Gulf Host",3
"4753","3397008681",2017-09-20,"Gulf Host-The Specialty Food Festival-Gulf Host",4
"4754","3397008686",2017-09-19,"Yummex",3
"4755","3397008695",2017-09-18,"Yummex-Gulf Host-Yummex",2
"4756","3397008695",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4757","3397008696",2017-09-20,"Gulf Host-Yummex-The Specialty Food Festival",4
"4758","3397008710",2017-09-18,"Gulf Host-Yummex",2
"4759","3397008714",2017-09-18,"Seafex",2
"4760","3397008718",2017-09-20,"Yummex",4
"4761","3397008720",2017-09-20,"Gulf Host",4
"4762","3397008736",2017-09-19,"Yummex-Gulf Host",3
"4763","3397008738",2017-09-19,"Gulf Host",3
"4764","3397008739",2017-09-19,"Crossover into Hotel / Leisure",3
"4765","3397008740",2017-09-19,"Gulf Host",3
"4766","3397008743",2017-09-19,"Yummex",3
"4767","3397008746",2017-09-18,"Yummex-Gulf Host",2
"4768","3397008747",2017-09-19,"Crossover into Hotel / Leisure",3
"4769","3397008750",2017-09-18,"Yummex",2
"4770","3397008750",2017-09-19,"Gulf Host",3
"4771","3397008750",2017-09-20,"Gulf Host-Yummex-Gulf Host",4
"4772","3397008755",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure-Gulf Host",3
"4773","3397008755",2017-09-20,"Gulf Host-Yummex-Gulf Host",4
"4774","3397008758",2017-09-19,"Crossover into Hotel / Leisure",3
"4775","3397008785",2017-09-19,"Crossover into Hotel / Leisure",3
"4776","3397008787",2017-09-19,"Yummex",3
"4777","3397008795",2017-09-18,"Yummex-Gulf Host",2
"4778","3397008799",2017-09-19,"Gulf Host",3
"4779","3397008805",2017-09-19,"Crossover into Hotel / Leisure",3
"4780","3397008809",2017-09-18,"Yummex",2
"4781","3397008815",2017-09-19,"Crossover into Hotel / Leisure",3
"4782","3397008818",2017-09-20,"Yummex-Gulf Host",4
"4783","3397008819",2017-09-18,"Yummex",2
"4784","3397008823",2017-09-18,"Yummex",2
"4785","3397008835",2017-09-20,"Gulf Host",4
"4786","3397008838",2017-09-18,"Yummex",2
"4787","3397008838",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4788","3397008838",2017-09-20,"Gulf Host",4
"4789","3397008839",2017-09-19,"Crossover into Hotel / Leisure",3
"4790","3397008843",2017-09-18,"Yummex",2
"4791","3397008843",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4792","3397008847",2017-09-20,"Yummex",4
"4793","3397008850",2017-09-20,"Yummex",4
"4794","3397008854",2017-09-20,"Yummex",4
"4795","3397008858",2017-09-18,"Gulf Host",2
"4796","3397008858",2017-09-19,"Gulf Host",3
"4797","3397008859",2017-09-20,"Yummex",4
"4798","3397008867",2017-09-18,"Gulf Host",2
"4799","3397008867",2017-09-19,"Gulf Host",3
"4800","3397008884",2017-09-18,"Yummex",2
"4801","3397008893",2017-09-18,"Gulf Host",2
"4802","3397008894",2017-09-18,"Gulf Host",2
"4803","3397008897",2017-09-18,"Gulf Host",2
"4804","3397008902",2017-09-19,"Gulf Host",3
"4805","3397008902",2017-09-20,"Gulf Host",4
"4806","3397008903",2017-09-20,"Yummex",4
"4807","3397008905",2017-09-19,"Gulf Host",3
"4808","3397008907",2017-09-19,"Crossover into Hotel / Leisure",3
"4809","3397008911",2017-09-20,"Yummex-Gulf Host",4
"4810","3397008912",2017-09-18,"Gulf Host-Yummex-Gulf Host",2
"4811","3397008924",2017-09-18,"Gulf Host",2
"4812","3397008924",2017-09-20,"Gulf Host",4
"4813","3397008929",2017-09-18,"Gulf Host",2
"4814","3397008929",2017-09-19,"Gulf Host",3
"4815","3397008930",2017-09-18,"Yummex",2
"4816","3397008932",2017-09-18,"Gulf Host-Yummex",2
"4817","3397008934",2017-09-18,"Yummex",2
"4818","3397008936",2017-09-19,"Yummex",3
"4819","3397008939",2017-09-18,"Yummex-Gulf Host",2
"4820","3397008939",2017-09-19,"Crossover into Hotel / Leisure-The Specialty Food Festival",3
"4821","3397008942",2017-09-19,"Yummex",3
"4822","3397008943",2017-09-18,"Gulf Host",2
"4823","3397008943",2017-09-19,"Gulf Host",3
"4824","3397008945",2017-09-18,"Yummex",2
"4825","3397008945",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
